Región,Comuna,Ubicación,NombreApellidos,OtrosDatos,¿Qué recibe?,Info adicional
,,,,,"Colchones y frazadas, alimentos listos para servir (para voluntarios, albergados y vecinos), útiles de aseo personal, toallas, elementos de protección personal como guantes, bloqueador, zapatos, antiparras.",
,,,,,"Colchones, frazadas (en buen estado), agua, alimentos no perecibles, articulos de aseo personal, pañales",@muniecentral
,,,,,Solo agua sellada y sin gas.,
,,,,,Solo agua sellada y sin gas.,
,,,,,Solo agua sellada y sin gas.,
,,,,,"Agua, bebidas isotónicas, kit de aseo (cepillos de dientes, jabon, shampoo, etc), mascarillas, guantes",@munilascondes
,,,,,"Agua, alimento para mascotas, útiles de aseo personal y para el hogar, pañales, materiales de construcción.",
,,,,,"Guantes, palas, carretillas, baldes, bloqueador, sacos. Cepillos/pastas de dientes, jabón, cremas, papel higiénico, pañales, toallas húmedas e higiénicas, toallas, ropa interior nueva, ropa de cama. Barras de cereal, leche en caja, agua, bebidas isotónicas.",NO se recibe ropa. @mlobarnechea
,,,,,"Guantes, palas, carretillas, baldes, bloqueador, sacos. Cepillos/pastas de dientes, jabón, cremas, papel higiénico, pañales, toallas húmedas e higiénicas, toallas, ropa interior nueva, ropa de cama. Barras de cereal, leche en caja, agua, bebidas isotónicas.",NO se recibe ropa. @mlobarnechea
,,,,,"Agua, toallas higiénicas, gotas para ojos, artículos de higiene, mascarillas KN95, alimentos no perecibles, alimentos para mascotas.",@colmedsantiago
,,,,,"Agua, alimentos no perecibles y útiles de aseo.",
,,,,,"Agua, artículos de aseo personal, alimentos no perecibles, alimentos para mascotas sellados, ropa de cama.",@munilaflorida_
,,,,,Agua embotellada y alimento para mascotas,@muni_maipu
,,,,,"Alimentos no perecibles, leche, pañales, agua, artículos de aseo, comida para mascotas, artículos de hogar.",
,,,,,"Alimentos no perecibles, agua embotellada, alimento para mascotas, protector solar (+30fps), utiles de aseo e higiene personal",NO ropa ni juguetes.
,,,,,"Agua, toallas higiénicas, gotas para ojos, artículos de higiene, mascarillas KN95, alimentos no perecibles, alimentos para mascotas.",@colmedsantiago
,,,,,"Alimentos no perecibles, alimentos para mascotas, útiles de aseo, barras/bebidas energéticas, agua, suero y gasas.",@redgeochile
,,,,,"Materiales de construcción, artículos de aseo, agua, alimentos para mascotas, alimentos no perecibles.",@mpuentealto
,,,,,,
,,,,,"Bidones de agua, articulos de aseo, palas, articulos de aseo personal, alimentos no perecibles, alimentos de mascotas",
,,,,,"Útiles de aseo, toallas higiénicas, leche fórmula para bebés, leche líquida en cajas, aguas 2 litros, alimentos no perecibles, sillas de ruedas, vasos, barras de cereal.",
,,,,,Alimento para mascotas y agua embotellada,
,,,,,"Alimentos no perecibles, articulos de aseo, agua embotellada, comida para mascotas envasada, pañales adulto y niño, leche y formulas, toallas higienicas y absorbentes, frazadas",
,,,,,"Agua envasada, articulos de higiene personal, alimentos no perecibles, alimentos para mascotas",
,,,,,"Agua sin gas, alimentos no perecibles, artículos de aseo, mascarillas KN95, bolsas de basura, guantes de trabajo, palas, escobillones y rastrillos.",
,,,,,"Agua, frazadas, kit de aseo, alimento para animales, juguetes y cuentos, alimentos no pereceibles, isotonicas, elementos de trabajo y proteccion a brigadistas",
,,,,,"Kits de higiene, ropa interior nueva, kit de higiene menstrual, Agua, Colaciones para brigadistas, platos desechables, toallas higiénicas, desodorante y
shampoo.",@feuc2024 @consejeria_superioruc @pastoral_uc
,,,,,"aguas y bebidas isotonicas, barras de cereal, alimentos no perecibles, frazadas y colchones, articulos de higiene, pañales y bloqueador solar, mascarillas, guantes de trabajo",
,,,,,"Agua embotellada, bebidas isotónicas, útiles de aseo y pañales, artículos de higiene menstrual, alimentos no perecibles, herramientas de trabajo, bloqueador solar.",NO ropa.
,,,,,"Alimentos no perecibles, agua sin gas, artículos de aseo, mascarillas KN95, alimentos de mascotas, bolsas de basura y guantes de trabajo",
,,,,,"Pañales, agua, productos femeninos, útiles de aseo.",Apoyo a mujeres de Valparaíso.
,,,,,Artículos de aseo y agua embotellada,Hasta el domingo 4
,,,,,"Útiles de aseo, agua, alimentos no perecibles, elementos de protección (bloqueador, guantes, lentes de protección)",
,,,,,"Alimento perros y gatos, ropa en buen estado +6meses, gasas, alcohol, vendas, sueros",
,,,,,"Agua, bebidas isotónicas, pañales de niños, útiles de aseo",
,,,,,"Alimento no perecible, almohadas y frazadas nuevas, agua embotellada, alimento para mascotas, pañales, toallas higiénicas, artículos de aseo.",
,,,,,"Alimentos no perecibles, agua y bebidas isotónicas, barras de cereales, frazadas y colchones, comida y kits para mascotas, mascarillas y guantes, artículos de higiene, kits sanitarios para mujeres, pañales y bloqueador solar, ropa en buen estado.",Contacto: +56 9 8334 7619 - @damelamano_dlm @colmedmaule @cronicasdechile
,,,,,"Alimentos, agua, útiles de aseo, pañales, alimento de mascotas, bebidas isotónicas, ropa interior nueva, toallas higiénicas.",
,,,,,"Arroz, fideos, legumbres y harina.",
,,,,,Alimentos no perecibles y elementos de aseo.,
